Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,cyclic,0.900000,30,0.155000,6.523333,0.000000,0.064821,0.416006,0.171827,0.585556,0.470000,0.574000,0.524606
Unlu_CS=T,cyclic,0.900000,30,0.155000,4.256667,0.000000,0.039835,0.407466,0.682302,0.557778,0.390000,0.541000,0.466405
mixed_CS=T,cyclic,0.900000,50,0.155000,3.886667,0.000000,0.074821,0.588485,0.173693,0.433333,0.660000,0.456000,0.534790
Unlu_CS=T,cyclic,0.900000,50,0.155000,6.666667,0.000000,0.064518,0.433554,0.681013,0.550000,0.430000,0.538000,0.486313
mixed_CS=T,cyclic,0.900000,80,0.155000,3.913333,0.000000,0.023829,0.385207,0.160097,0.643333,0.550000,0.634000,0.594839
Unlu_CS=T,cyclic,0.900000,80,0.155000,4.383333,0.000000,0.025482,0.358072,0.653571,0.647778,0.450000,0.628000,0.539907
mixed_CS=T,cyclic,0.900000,30,0.230000,3.356667,0.000000,0.042039,0.459091,0.168764,0.547778,0.520000,0.545000,0.533708
Unlu_CS=T,cyclic,0.900000,30,0.230000,7.253333,0.000000,0.030193,0.295344,0.605863,0.725556,0.350000,0.688000,0.503929
mixed_CS=T,cyclic,0.900000,50,0.230000,3.536667,0.000000,0.043939,0.511267,0.173489,0.506667,0.520000,0.508000,0.513290
Unlu_CS=T,cyclic,0.900000,50,0.230000,5.883333,0.000000,0.017300,0.272755,0.549408,0.778889,0.270000,0.728000,0.458585
mixed_CS=T,cyclic,0.900000,80,0.230000,3.533333,0.000000,0.023884,0.423884,0.169880,0.606667,0.710000,0.617000,0.656303
Unlu_CS=T,cyclic,0.900000,80,0.230000,15.523490,0.006667,0.021212,0.200523,0.554643,0.830000,0.340000,0.781000,0.531225
mixed_CS=T,cyclic,0.900000,30,0.305000,8.023333,0.000000,0.085152,0.455152,0.168103,0.574444,0.440000,0.561000,0.502748
Unlu_CS=T,cyclic,0.900000,30,0.305000,5.773333,0.000000,0.018898,0.290771,0.568755,0.793333,0.250000,0.739000,0.445346
mixed_CS=T,cyclic,0.900000,50,0.305000,14.566667,0.000000,0.095482,0.448705,0.166000,0.654444,0.400000,0.629000,0.511642
Unlu_CS=T,cyclic,0.900000,50,0.305000,9.256667,0.000000,0.016722,0.261019,0.510971,0.816667,0.370000,0.772000,0.549697
mixed_CS=T,cyclic,0.900000,80,0.305000,8.436667,0.000000,0.020634,0.341267,0.131547,0.775556,0.670000,0.765000,0.720848
Unlu_CS=T,cyclic,0.900000,80,0.305000,10.860000,0.000000,0.016474,0.249642,0.446765,0.827778,0.470000,0.792000,0.623743
mixed_CS=T,cyclic,0.900000,30,0.380000,3.973333,0.000000,0.044904,0.552342,0.175918,0.523333,0.610000,0.532000,0.565007
Unlu_CS=T,cyclic,0.900000,30,0.380000,6.396667,0.000000,0.018926,0.289780,0.560155,0.787778,0.260000,0.735000,0.452573
mixed_CS=T,cyclic,0.900000,50,0.380000,12.333333,0.000000,0.069945,0.474793,0.150168,0.774444,0.380000,0.735000,0.542484
Unlu_CS=T,cyclic,0.900000,50,0.380000,12.503333,0.000000,0.016501,0.254931,0.460420,0.850000,0.270000,0.792000,0.479062
mixed_CS=T,cyclic,0.900000,80,0.380000,6.746667,0.000000,0.018375,0.324904,0.125176,0.780000,0.750000,0.777000,0.764853
Unlu_CS=T,cyclic,0.900000,80,0.380000,19.266667,0.000000,0.014298,0.246612,0.326587,0.898889,0.580000,0.867000,0.722050
mixed_CS=T,cyclic,0.900000,30,0.455000,12.860000,0.000000,0.038017,0.393994,0.152511,0.814444,0.300000,0.763000,0.494301
Unlu_CS=T,cyclic,0.900000,30,0.455000,12.113333,0.000000,0.016777,0.242176,0.460420,0.862222,0.260000,0.802000,0.473474
mixed_CS=T,cyclic,0.900000,50,0.455000,14.400000,0.000000,0.081763,0.554215,0.140782,0.785556,0.550000,0.762000,0.657309
Unlu_CS=T,cyclic,0.900000,50,0.455000,16.936667,0.000000,0.015069,0.227355,0.411994,0.915556,0.200000,0.844000,0.427915
